Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""Object Repository/CustomerRonLogin/Page_XYZ Bank/input_Amount to be Withdrawn_form-control n_bccfe0""), ""1000"")",Chrome 119.0.0.0,,,2023-11-27 18:49:07,2023-11-27 18:49:08,1.677s,PASSED
"click(findTestObject(""Object Repository/CustomerRonLogin/Page_XYZ Bank/button_Withdraw""))",Chrome 119.0.0.0,,,2023-11-27 18:49:08,2023-11-27 18:49:09,0.397s,PASSED
"click(findTestObject(""Object Repository/CustomerRonLogin/Page_XYZ Bank/span_Transaction Failed. You can not withdr_4b9636""))",Chrome 119.0.0.0,,,2023-11-27 18:49:09,2023-11-27 18:49:09,0.619s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/CustomerRonLogin/Page_XYZ Bank/select_100710081009""), ""number:1008"", true)",Chrome 119.0.0.0,,,2023-11-27 18:49:09,2023-11-27 18:49:11,1.305s,PASSED
"click(findTestObject(""Object Repository/CustomerRonLogin/Page_XYZ Bank/button_Transactions""))",Chrome 119.0.0.0,,,2023-11-27 18:49:11,2023-11-27 18:49:11,0.520s,PASSED
"click(findTestObject(""Object Repository/CustomerRonLogin/Page_XYZ Bank/button_Back""))",Chrome 119.0.0.0,,,2023-11-27 18:49:11,2023-11-27 18:49:12,1.266s,PASSED
"click(findTestObject(""Object Repository/CustomerRonLogin/Page_XYZ Bank/button_Home""))",Chrome 119.0.0.0,,,2023-11-27 18:49:12,2023-11-27 18:49:13,0.589s,PASSED
closeBrowser(),Chrome 119.0.0.0,,,2023-11-27 18:49:13,2023-11-27 18:49:14,0.826s,PASSED
,,,,,,,
Test Cases/CustomerSearchManager,Chrome 119.0.0.0,,,2023-11-27 18:49:14,2023-11-27 18:49:26,12.570s,PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-27 18:49:15,2023-11-27 18:49:16,1.439s,PASSED
"navigateToUrl(""https://www.globalsqa.com/angularJs-protractor/BankingProject/#/login"")",Chrome 119.0.0.0,,,2023-11-27 18:49:16,2023-11-27 18:49:18,1.740s,PASSED
maximizeWindow(),Chrome 119.0.0.0,,,2023-11-27 18:49:18,2023-11-27 18:49:18,0.150s,PASSED
"click(findTestObject(""Object Repository/CustomerSearchManager/Page_XYZ Bank/button_Bank Manager Login""))",Chrome 119.0.0.0,,,2023-11-27 18:49:18,2023-11-27 18:49:19,1.421s,PASSED
"click(findTestObject(""Object Repository/CustomerSearchManager/Page_XYZ Bank/button_Customers""))",Chrome 119.0.0.0,,,2023-11-27 18:49:19,2023-11-27 18:49:20,0.981s,PASSED
"setText(findTestObject(""Object Repository/CustomerSearchManager/Page_XYZ Bank/input_Customers_form-control ng-pristine ng_ffe1ed""), ""Test"")",Chrome 119.0.0.0,,,2023-11-27 18:49:20,2023-11-27 18:49:22,1.397s,PASSED
"click(findTestObject(""Object Repository/CustomerSearchManager/Page_XYZ Bank/input_Customers_form-control ng-pristine ng_ffe1ed""))",Chrome 119.0.0.0,,,2023-11-27 18:49:22,2023-11-27 18:49:22,0.621s,PASSED
"clearText(findTestObject(""Object Repository/CustomerSearchManager/Page_XYZ Bank/input_Customers_form-control ng-pristine ng_ffe1ed""))",Chrome 119.0.0.0,,,2023-11-27 18:49:22,2023-11-27 18:49:23,0.553s,PASSED
"click(findTestObject(""Object Repository/CustomerSearchManager/Page_XYZ Bank/div_Customers_input-group-addon""))",Chrome 119.0.0.0,,,2023-11-27 18:49:23,2023-11-27 18:49:24,0.550s,PASSED
"setText(findTestObject(""Object Repository/CustomerSearchManager/Page_XYZ Bank/input_Customers_form-control ng-pristine ng_ffe1ed""), ""Harry"")",Chrome 119.0.0.0,,,2023-11-27 18:49:24,2023-11-27 18:49:24,0.963s,PASSED
"sendKeys(findTestObject(""Object Repository/CustomerSearchManager/Page_XYZ Bank/input_Customers_form-control ng-pristine ng_ffe1ed""), Keys.chord(ENTER))",Chrome 119.0.0.0,,,2023-11-27 18:49:24,2023-11-27 18:49:25,0.596s,PASSED
"click(findTestObject(""Object Repository/CustomerSearchManager/Page_XYZ Bank/button_Home""))",Chrome 119.0.0.0,,,2023-11-27 18:49:25,2023-11-27 18:49:26,0.565s,PASSED
closeBrowser(),Chrome 119.0.0.0,,,2023-11-27 18:49:26,2023-11-27 18:49:26,0.844s,PASSED
,,,,,,,
Test Cases/GlobalsQACustomer,Chrome 119.0.0.0,,,2023-11-27 18:49:27,2023-11-27 18:49:39,12.986s,PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-27 18:49:27,2023-11-27 18:49:29,1.453s,PASSED
